rank,gene,mean_instability_score,peak_pseudotime,primary_archetype
1,Cacna2d3,0.0045,0.02,A3
2,Col19a1,0.0044,0.02,A3
3,Neto1,0.0041,0.02,A3
4,Grik1,0.004,0.02,A3
5,Npas1,0.0039,0.02,A3
6,Reln,0.0039,0.02,A3
7,Galntl6,0.0039,0.02,A3
8,Thrb,0.0036,0.02,A3
9,Kctd8,0.003,0.02,A3
10,Cntnap3,0.003,0.02,A3
11,Elfn1,0.003,0.02,A3
12,Stk33,0.0029,0.02,A3
13,Gpr179,0.0029,0.02,A3
14,P3h2,0.0028,0.02,A3
15,Prdm6,0.0027,0.02,A3
16,Ifitm1,0.0027,0.02,A3
17,Sp9,0.0027,0.02,A3
18,Tshz3,0.0027,0.02,A3
19,Itih2,0.0027,0.02,A3
20,Tmem37,0.0027,0.02,A3
